imdbId,Imdb Link,Title,IMDB Score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2283748,http://www.imdb.com/title/tt2283748,OMG: Oh My God! (2012),0.82,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4851630,http://www.imdb.com/title/tt4851630,Maheshinte Prathikaaram (2016),0.82,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3185772,http://www.imdb.com/title/tt3185772,Onaayum Aattukkuttiyum (2013),0.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2218646,http://www.imdb.com/title/tt2218646,Owned & Operated (2012),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3784160,http://www.imdb.com/title/tt3784160,Valley Uprising (2014),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3091380,http://www.imdb.com/title/tt3091380,Mission Congo (2013),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3146408,http://www.imdb.com/title/tt3146408,Le chant des ondes - Sur la piste de Maurice Martenot (2012),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3661072,http://www.imdb.com/title/tt3661072,Giuseppe Makes a Movie (2014),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864253,http://www.imdb.com/title/tt1864253,Alias Ruby Blade (2012),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4974396,http://www.imdb.com/title/tt4974396,Stretch and Bobbito: Radio That Changed Lives (2015),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4393514,http://www.imdb.com/title/tt4393514,Bitter Lake (2015),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618448,http://www.imdb.com/title/tt1618448,Racing Extinction (2015),0.82,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4145178,http://www.imdb.com/title/tt4145178,Listen to Me Marlon (2015),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385558,http://www.imdb.com/title/tt2385558,American Revolutionary: The Evolution of Grace Lee Boggs (2013),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2636424,http://www.imdb.com/title/tt2636424,Tony Benn: Will and Testament (2014),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058426,http://www.imdb.com/title/tt4058426,India's Daughter (2015),0.82,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375605,http://www.imdb.com/title/tt2375605,The Act of Killing (2012),0.82,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2558550,http://www.imdb.com/title/tt2558550,Life According to Sam (2013),0.82,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504978,http://www.imdb.com/title/tt1504978,A Lot Like You (2012),0.82,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250426,http://www.imdb.com/title/tt2250426,Lord Montagu (2013),0.82,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2417154,http://www.imdb.com/title/tt2417154,Filmage: The Story of Descendents/All (2013),0.82,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2125608,http://www.imdb.com/title/tt2125608,Searching for Sugar Man (2012),0.82,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3717510,http://www.imdb.com/title/tt3717510,The Drop Box (2015),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3270538,http://www.imdb.com/title/tt3270538,Requiem for the American Dream (2015),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2499076,http://www.imdb.com/title/tt2499076,The Crash Reel (2013),0.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2274356,http://www.imdb.com/title/tt2274356,Jim Jefferies: Fully Functional (2012),0.82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370718,http://www.imdb.com/title/tt2370718,Artifact (2012),0.82,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3358552,http://www.imdb.com/title/tt3358552,"Another Day, Another Time: Celebrating the Music of Inside Llewyn Davis (2013)",0.82,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3856972,http://www.imdb.com/title/tt3856972,The Connection (2014),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593392,http://www.imdb.com/title/tt2593392,Alive Inside (2014),0.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170832,http://www.imdb.com/title/tt3170832,Room (2015),0.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791576,http://www.imdb.com/title/tt1791576,Pilgrim Song (2012),0.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2758880,http://www.imdb.com/title/tt2758880,Kis Uykusu (2014),0.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
